clean_combined_text,label_model
التصنيع الصيني ينكمش للشهر الثالث رغم تحسن المؤشرات الفرعية واصل قطاع التصنيع الصين انكماشه خلال للشهر الثالث التوالي بقاء مؤشر مديري المشتريات pmi الصناعي 497 نقطة وفقا للبيانات الرسمية الصادرة مكتب الإحصاءات اليوم الاثنين,اقتصاد
إيران رحلت عددا ضخما الأفغان خلال شهر الحرب إسرائيل 230 أفغاني بلادهم إيران خلال معظمهم رحلتهم طهران بحسب أفادت منظمة الهجرة الدولية التابعة للأمم المتحدة الاثنين بعدما أمرت إيران ملايين الأفغان المقيمين أراضيها بشكل نظامي بالمغادرة,سياسة
ترامب يهدد ممداني بالتصرف الصحيح وإلا تجاهل المرشح الأول لرئاسة بلدية نيويورك زهران ممداني هجمات الرئيس الأميركي دونالد ترامب ونفى شيوعيته خلال مقابلة أجريت الأحد قال المرشح التقدمي لمنصب عمدة مدينة نيويورك يعارض فكرة المليارديرات,سياسة
تتحرك الظل تكون zhipu ai تثير قلق openai خطوة نادرة تسلط الضوء تصاعد المنافسة التكنولوجية واشنطن وبكين حذرت شركة openai الأميركية مدونة بحثية التقدم السريع تحققه شركة zhipu ai الصينية المدعومة الحكومة معتبرة لاعبا مركزيا يعمل الخفاء لمساعدة الصين تحقيق طموحها بتصدر سباق الذكاء الاصطناعي العالمي,تكنولوجيا
القاع بوابة تهريب مفتوحة لبنان وسوريا جنح الظلام وفي ضوء النهار تمر صهاريج الوقود مسرعة ذهابا وإيابا بلا توقف عابرة الحدود اللبنانية السورية حسيب رقيب,اقتصاد
التحدي الخطير تيك توك يودي بحياة طفل بريطاني لقي طفل بريطاني يدعى سيباستيان حتفه أثناء محاولته تنفيذ تحدي فقدان الوعي المنتشر منصة تيك توك حادثة أثارت مخاوف جديدة مخاطر المحتوى الرقمي الموجه للأطفال,صحة
دراسة أثرية النساء حكمن أولى الحضارات البشرية أظهرت دراسة جديدة موقع تشاتالهويوك جنوبي تركيا النساء وليس الرجال يكن تولين السلطة واحدة أقدم المدن المعروفة والتي تعود 7000 عام الميلاد وفقا نشرته صحيفة ديلي ميل البريطانية,ثقافة
إيران تهاجم مستشار ألمانيا بشأن العمل القذر انتقدت وزارة الخارجية الإيرانية يوم الاثنين بشدة تصريحات المستشار الألماني فريدريش ميرتس بشأن الحرب إسرائيل,سياسة
إيران ترامب يمارس ألاعيب نفسية بشأن رفع العقوبات انتقدت إيران الاثنين تغير مواقف الرئيس الأميركي دونالد ترامب بشأن رفع العقوبات الاقتصادية المفروضة طهران واصفة بأنه ألاعيب تهدف حل المشاكل البلدين,سياسة
إسرائيل مهتمة بتطبيع العلاقات سوريا ولن تترك الجولان أكد وزير الخارجية الإسرائيلي جدعون ساعر الإثنين بلاده مهتمة بتطبيع علاقاتها سوريا ولبنان مؤكدا هضبة الجولان السورية المحتلة ستبقى جزءا يتجزأ إسرائيل اتفاق سلام محتمل,سياسة
ألمانيا وفرنسا وبريطانيا تندد بـتهديدات إيران بحق غروسي نددت ألمانيا وفرنسا وبريطانيا بيان مشترك اليوم الاثنين بـتهديدات طهران بحق المدير العام للوكالة الدولية للطاقة الذرية رافايل غروسي الضربات الأميركية والإسرائيلية منشآت نووية إيران وإعلان الأخيرة تعليق التعاون الوكالة,سياسة
تتفاعل الأسواق تصعيد ترامب ضد باول تسود حالة الترقب المشوب بالحذر داخل الأوساط المالية الأميركية ظل تصاعد الضغوط السياسية مجلس الاحتياطي الفيدرالي واشتداد الجدل حول مستقبل أسعار الفائدة الولايات المتحدة,اقتصاد
شيرين تثير الجدل اختتام مهرجان موازين حدث شهد حفل اختتام مهرجان موازين إيقاعات العالم العاصمة المغربية الرباط أحيته الفنانة المصرية شيرين عبد الوهاب جدلا واسعا منصات التواصل الاجتماعي انتقادات حادة الحاضرين للحفل ورسائل دعم جمهورها ومحبيها,ثقافة
البطالة تركيا تنخفض 84 أظهرت بيانات معهد الإحصاء التركي الاثنين تراجع معدل البطالة 84 بالمئة خلال بانخفاض قدره 02 نقطة مئوية بينما بقي معدل مشاركة القوى العاملة مستقرا 535 بالمئة,اقتصاد
اقتصاد بريطانيا ينمو 07 الربع الأول بأسرع وتيرة عام سجل الاقتصاد البريطاني الإثنين نموا بنسبة 07 بالمئة الربع الأول 2025 أسرع معدل نمو فصلي بداية 2024 بحسب بيانات مكتب الإحصاءات الوطنية,اقتصاد
البرلمان المصري يقر زيادات ضريبية السجائر والكحول أقر مجلس النواب المصري الأحد تعديلات جديدة قانون ضريبة القيمة المضافة تتيح للحكومة رفع أسعار السجائر المحلية والمستوردة بنسب تصل 23 بالمئة وفرض ضريبة البترول الخام بنسبة 10 بالمئة خطوة تستهدف تعزيز الإيرادات العامة موازنة العام المالي الجديد,اقتصاد
تبريد cvc dif تستحوذان شركة بال كولينغ أعلنت سي سي دي شركة البنى التحتية الإستراتيجية التابعة لشركة سي سي المتخصصة إدارة الأسواق العالمية الخاصة وتبريد المتخصصة تبريد المناطق شراكتهما للاستحواذ شركة بال لتبريد المناطق التابعة لمجموعة ملتيبلاي أبوظبي بصفقة خاضعة للموافقات الرسمية الصلة,اقتصاد
غروسي ينسف رواية ترامب مشروع إيران النووي يقبر الوقت سارعت واشنطن وتل أبيب إعلان النصر الاستراتيجي تنفيذ ضربات مكثفة منشآت البرنامج النووي الإيراني جاءت تصريحات المدير العام للوكالة الدولية للطاقة الذرية رافايل غروسي لتقلب الطاولة وتعيد ترتيب أوراق المشهد النووي,سياسة
أوسع هجوم روسي بدء الحرب رسالة حادة للغرب تصعيد عسكري الأوسع انطلاق الحرب الأوكرانية شنت روسيا هجوما جويا ضخما مواقع عمق الأراضي الأوكرانية مستخدمة مئات الطائرات المسيرة وعشرات الصواريخ خطوة اعتبرت رسالة ميدانية حادة للغرب وأوكرانيا بأن موسكو تقبل الجلوس طاولة المفاوضات الضغط العسكري العقوبات الاقتصادية,سياسة
سلاح حزب الله الضغوط والجدل اللبناني وترقب الرد يعود ملف سلاح حزب الله صدارة المشهد اللبناني مجددا مدفوعا بزخم دولي وأمريكي متزايد للضغط باتجاه حصر السلاح الدولة مقابل تعهدات بإنهاء الاحتلال الإسرائيلي لمناطق لبنانية حدودية,سياسة
تنجح ضغوط واشنطن التوصل صفقة تنهي حرب غزة ظل تصعيد عسكري مسبوق تواصل إسرائيل شن غاراتها المكثفة قطاع غزة مخلفة عشرات الضحايا يوميا قتيل وجريح وقت تتصاعد المساعي السياسية والدبلوماسية لاحتواء الموقف ووقف نزيف الدم,سياسة
مصر تسجل أقوى نمو فصلي للناتج المحلي 3 سنوات ارتفع معدل نمو الناتج المحلي الإجمالي مصر 477 بالمئة خلال الربع الثالث السنة المالية 20242025 بحسب أعلنته وزارة التخطيط الاثنين,اقتصاد
7 تراجع نفوذ الإخوان عربيا شهدت جماعة الإخوان وفروعها الدول العربية تراجعا حادا وخسائر متعددة الأبعاد أحداث السابع 2023 كشف هشاشة التنظيم العالمي للجماعة وفروعها المحلية دفع حالة الكمون القسري والعمل الظل,سياسة
ترامب تجارة السيارات اليابان عادلة ويجب تصحيحها يرى الرئيس الأميركي دونالد ترامب اليابان تستفيد بشكل عادل سوق السيارات الأميركية مطالبا طوكيو بزيادة وارداتها النفط والسلع الأميركية للمساعدة خفض العجز التجاري البلدين,اقتصاد
مشروع ترامب للضرائب يجتاز عقبة الشيوخ رغم تحذيرات الدين نجح الجمهوريون تمرير تصويت إجرائي داخل مجلس الشيوخ الأميركي لفتح النقاش حول مشروع الرئيس دونالد ترامب الشامل لخفض الضرائب والإنفاق يمنح التشريع دفعة مهمة طريقه الإقرار النهائي رغم التحذيرات أنه سيرفع الدين العام الأميركي بمقدار 33 تريليون,سياسة
بالفيديو فرقة بريطانية تردد هتاف الموت للجيش الإسرائيلي قال مسؤول رفيع وزارة الخارجية الأميركية تصريحات لموقع the daily wire السلطات الأميركية تدرس سحب تأشيرات دخول أعضاء فرقة bob vylan البريطانية خلفية هتافات أطلقوها خلال مشاركتهم مهرجان غلاستونبري الموسيقي بريطانيا,سياسة
بدء سريان اتفاق تجاري بريطانيا وأميركا لخفض الرسوم أعلنت الحكومة البريطانية الاثنين دخول الاتفاق التجاري الولايات المتحدة حيز التنفيذ الاتفاق وقعه الرئيس الأميركي دونالد ترامب ورئيس الوزراء البريطاني كير ستارمر وينص خفض الرسوم الجمركية عدد السلع البريطانية,سياسة
نتنياهو يضع إطلاق الرهائن أولوية هزيمة حماس أكد رئيس الوزراء الإسرائيلي بنيامين نتنياهو الأحد إطلاق سراح الرهائن المحتجزين حركة حماس يعد الأولوية القصوى لحكومته المرحلة الحالية وقت فسر مراقبون التصريحات بأنها تعكس تقديم ملف الرهائن هدف القضاء حماس قطاع غزة,سياسة
الأمم المتحدة تحذر خفض المساعدات يهدد استقرار العالم أكد المدير المعاون لبرنامج الأمم المتحدة الإنمائي هاوليانغ شو خفض المساعدات الخارجية ظل تصاعد الإنفاق العسكري يهدد فرص تحقيق السلام العالمي مشددا الاستثمار التنمية والدفاع والتجارة معادلة خاسرة لأي طرف,سياسة
بكين ترفع جزئيا حظر المأكولات البحرية اليابانية قررت الإدارة العامة للجمارك الصين رفع الحظر واردات المأكولات البحرية اليابانية معظم مناطق البلاد وذلك تحليل طويل الأمد أظهر عدم وجود شوائب نووية عينات مياه منطقة فوكوشيما,سياسة
كندا تلغي ضريبة الخدمات الرقمية لتسريع اتفاق تجاري أميركا أعلنت كندا أنها ستستأنف المفاوضات التجارية الولايات المتحدة أملا التوصل اتفاق ترامب ألغى المفاوضات احتجاجا فرض أوتاوا ضريبة شركات التكنولوجيا الأميركية,اقتصاد
خوليت يهاجم عقلية أسطورة الأهلي حسام غالي وجه أسطورة كرة القدم الهولندية رود خوليت انتقادات لاذعة للاعب الأهلي المصري السابق وأحد أساطيره حسام غالي خلال برنامج تلفزيوني الأحد,رياضة
إيران الظروف مناسبة لاستئناف المفاوضات أميركا قال سفير إيران ومندوبها الدائم الأمم المتحدة أمير سعيد إيرواني الظروف مناسبة لاستئناف المفاوضات الولايات المتحدة الوقت الراهن,سياسة
بسبب خطأ اليانصيب سعادة زائفة للآلاف اكتشاف الحقيقة عاش الآلاف النرويج لحظات السعادة الزائفة إبلاغهم طريق الخطأ بفوزهم بمبالغ مالية كبيرة سحب اليانصيب,اقتصاد
الرهائن حماس تغيرت لهجة نتنياهو رسائل ترامب لأول مرة اندلاع الحرب 2023 وضع رئيس الوزراء الإسرائيلي بنيامين نتنياهو الأحد إطلاق سراح الرهائن رأس أولويات الحكومة مقدما هزيمة حماس,سياسة
رسالة ميسي توديع مونديال الأندية قال النجم الأرجنتيني ليونيل ميسي قائد إنتر ميامي الأميركي فريقه قدم صورة جيدة مونديال الأندية رغم خروجه الدور ثمن النهائي بخسارة ثقيلة باريس سان جرمان الفرنسي 40 الأحد,رياضة
قائد الكتيبة خائن تصاعد العنف مستوطنين وقوات إسرائيلية تستمر المواجهات مستوطنين وقوات الأمن الإسرائيلية خارج قاعدة لواء بنيامين العسكرية الضفة الغربية المحتلة,سياسة
إطلاق نار رجال إطفاء أثناء إخماد حريق بولاية أميركية قال حاكم ولاية آيداهو الأميركية براد ليتل عددا رجال الإطفاء تعرضوا لهجوم أثناء محاولتهم إخماد حريق الولاية داعيا السكان الابتعاد المنطقة,اجتماعي
رباعية باريس سان جرمان ماسكيرانو يعترف بـالواقع المر اعترف المدير الفني لإنتر ميامي خافيير ماسكيرانو بوجود فجوة فريقه وباريس سان جرمان الفرنسي سحق الفريق الأميركي برباعية نظيفة دور الـ16 كأس العالم للأندية الأحد,رياضة
ضغوط أميركية لوقف حرب غزة ونقطة الخلاف الرئيسية باقية نقلت صحيفة تايمز أوف إسرائيل مسؤول أميركي ودبلوماسي عربي قولهما وزير الشؤون الاستراتيجية الإسرائيلي رون ديرمر سيواجه ضغوطا إدارة الرئيس الأميركي دونالد ترامب لإبرام صفقة تنهي الحرب غزة خلال اجتماعاته واشنطن الإثنين,سياسة
هجوم ترامب سيناتور جمهوري ينسحب التجديد النصفي قال السيناتور الجمهوري توم تيليس الأحد يسعى لإعادة انتخابه العام المقبل وذلك يوم قول الرئيس الأميركي دونالد ترامب سيدرس دعم منافسي السيناتور ردا تصويت الأخير ضد مشروع قانون ترامب لخفض الضرائب,سياسة
بايرن ينهي مغامرة فلامنغو ويبلغ ربع نهائي مونديال الأندية نجح بايرن ميونيخ الألماني إخماد ثورة فلامنغو البرازيلي وهزمه 42 دور الـ16 كأس العالم للأندية الأحد,رياضة
ستارمر يعلق هتاف الموت للجيش الإسرائيلي بمهرجان موسيقي قال رئيس الوزراء البريطاني كير ستارمر الأحد هتافات الموت للجيش الإسرائيلي مهرجان غلاستونبري الموسيقي تمثل خطاب كراهية مروعا,سياسة
فرقة جديدة الجيش الإسرائيلي علاقة الصراع إيران أعلن الجيش الإسرائيلي الأحد تشكيل فرقة جديدة تزامنا هجماته شنها إيران وقت سابق شهر الجاري,سياسة
رئيس إيران مستعدون لفتح صفحة جديدة جيراننا الخليج قال الرئيس الإيراني مسعود بزشكيان الأحد بلاده مستعدة لفتح صفحة جديدة جيرانها الخليج,سياسة
دراسة جديدة تكشف 3 عوامل ترفع خطر الإصابة بالخرف كشفت دراسة جديدة وجود علاقة الإصابة بأمراض ارتفاع ضغط الدم والسكري والتدخين منتصف العمر وزيادة خطر الإصابة بالخرف,صحة
ترامب يدفع اتفاق غزة ومعظم القضايا العالقة تم حلها قالت صحيفة جيروزاليم بوست الإسرائيلية الأحد الرئيس الأميركي دونالد ترامب يعمل دفع صفقة لإطلاق سراح الرهائن المحتجزين غزة وإنهاء الحرب إسرائيل وحماس,سياسة
تنصت أميركي اتصالات إيرانية ضربات واشنطن كشف ذكرت صحيفة واشنطن بوست الأحد نقلا أشخاص مطلعين معلومات مخابرات سرية متداولة داخل الحكومة الأميركية اتصالات إيرانية جرى اعتراضها تضمنت أحاديث تقلل حجم الأضرار سببتها الضربات الأميركية البرنامج النووي الإيراني,سياسة
التخريب الفرضيات مطروحة تحطم الطائرة الهندية أعلن مسؤول هندي الأحد التحقيق سبب حادث الطائرة الهندية طراز بوينغ 787 تحطمت 12 أثناء إقلاعها أحمد آباد غرب الهند يطرح الفرضيات فرضية التخريب,اجتماعي
فيديو الفنانة الشهيرة بيونسيه تتعرض لموقف مرعب الهواء تعرضت الفنانة الأميركية الشهيرة بيونسيه لموقف مرعب أثناء أدائها أغانيها الكلاسيكية خلال حفل أقيم ملعب بمدينة هيوستن ضمن أولى محطات جولتها كاوبوي كارتر,ثقافة
باريس سان جيرمان يقسو رفاق ميسي ويتقدم لدور الثمانية اكتفى باريس سان جيرمان بتسجيل أهداف الشوط الأول ليفوز 4صفر إنتر ميامي ليتقدم بطل أوروبا دور الثمانية لكأس العالم للأندية الموسعة لكرة القدم الأحد,رياضة
فشل الموسم والتمويل مزارعو السودان يواجهون أزمة مزدوجة يواجه المزارعون معظم أنحاء السودان أزمة مزدوجة تتمثل تدهور الإنتاج بسبب الأوضاع الأمنية ونقص الكهرباء يعتمد عليها معظم المزارعين الري,اقتصاد
نتنياهو النصر إيران يفتح نافذة لتوسيع اتفاقيات السلام قال رئيس الوزراء الإسرائيلي بنيامين نتنياهو الأحد الانتصار إيران فتح نافذة لتوسيع اتفاقيات السلام المنطقة,سياسة
مارادونا وميسي لامين يامال يخطف رقم الأساطير المرتقب يعلن نادي برشلونة الإسباني يوم الثلاثاء انتقال الرقم 10 اللاعب أنسو فاتي النجم الصاعد لامين يامال,رياضة
باراك اتفاقات سلام سوريا ولبنان إسرائيل باتت ضرورية أعلن الموفد الأميركي الخاص سوريا توم باراك الأحد سوريا ولبنان يحتاجان للتوصل اتفاقات سلام إسرائيل بعدما فتحت الحرب إسرائيل وإيران طريقا جديدا للشرق الأوسط,سياسة
قائد قوات الدفاع الجوي المصرية مهتمون بكل أحداث المنطقة أكد قائد قوات الدفاع الجوي المصرية الفريق ياسر الطودي اهتمام قوات الدفاع الجوي بكل يجري أحداث ومتغيرات المنطقة,سياسة
لابيد يرد طلب ترامب إلغاء محاكمة نتنياهو رد زعيم المعارضة الإسرائيلية يائير لابيد الأحد طلب الرئيس الأميركي دونالد ترامب إلغاء محاكمة رئيس الوزراء الإسرائيلي بنيامين نتياهو,سياسة
مسؤول روسي لقاء بوتين وترامب يتم لحظة أكد مساعد الرئيس الروسي يوري أوشاكوف الاحتفال بالذكرى السنوية الـ80 للأمم المتحدة يكون سببا وجيها لعقد اجتماع محتمل الرئيسين الروسي فلاديمير بوتين والأميركي دونالد ترامب,سياسة
إيران إصابة أشخاص انفجار خزان نيتروجين بمصفاة تبريز ذكرت وسائل إعلام إيرانية الأحد انفجار خزان نيتروجين مصفاة تبريز بشمال غرب إيران أدى إصابة عدد الأشخاص,اجتماعي
تقرير طلب الجيش الإسرائيلي إنهاء الحرب احتلال غزة بالكامل ومصر تتحدث اتفاق محتمل ألمح الجيش الإسرائيلي وفقا لتقرير قناة إسرائيلية خلال اجتماعه المستوى السياسي بالحكومة الإسرائيلية قرب انتهاء عملية عربات جدعون قطاع غزة تصاعدت وتيرة القصف الإسرائيلي القطاع أشار وزير الخارجية المصري العمل جار التوصل لاتفاق هدنة لـ 60 يوما غزة,سياسة
العشرية السوداء الجزائر حرب أهلية دامية قانون الوئام المدني عام 1992 ألغت الحكومة الجزائرية نتيجة الجولة الأولى للانتخابات التشريعية حققت الجبهة الإسلامية فوزا ساحقا الأمر أدى تحريض قادة الجبهة أعمال عنف دامية شهدتها البلاد استمرت لعشر سنوات,اجتماعي
فوز زهران ممداني يكشف الوجه القبيح لمعاداة الإسلام الولايات المتحدة الغارديان عرض الصحف يتضمن حملة الكراهية تعرض زهران ممداني فوزه بالانتخابات التمهيدية لمنصب عمدة نيويورك وتدخلات ترامب سياسات البنك الاحتياطي الفيدرالي واستمرار هجومه رئيسه جيروم باول وقضية دعم الأبناء ماليا فترة المراهقة وهل ينفعهم يضرهم,سياسة
لماذا يلوث هاتفك المحمول القديم تايلاند وفقا للأمم المتحدة ينتج العالم 60 مليون طن النفايات الكهربائية والإلكترونية سنويا ضعف الكمية كانت تنتج 15 عاما,تكنولوجيا
ماريوبول يرام شهادات تنفي الروايات الروسية الوضع المدينة المحتلة سنوات احتلالها تزال مدينة ماريوبول الأوكرانية تعاني دمار واسع ونقص حاد المياه والأدوية رغم روايات روسية تزعم عودة الحياة طبيعتها,اقتصاد
قصة الطفلة أعلنت السلطات الجزائرية العثور جثتها اختفائها لأكثر شهر 22 مايوأيار فقد أثر الطفلة مروة بوغاشيش الـ13 عاما إيصالها مدرستها لتؤدي آخر امتحان الصف الثاني المتوسط أنها تعد المنزل,اجتماعي
نائب وزير الخارجية الإيراني لبي سي يجب تستبعد واشنطن فكرة مهاجمتنا المفاوضات يقول نائب وزير الخارجية الإيراني حوار سي لماذا يجب طهران توافق فكرة إعادة النظر برنامجها النووي وهل ستتعرض إيران لأي عدوان بينما تنخرط المفاوضات,سياسة
الممكن تصطدم بالأرض كويكبات يراقبها العلماء تراقب العديد المنظمات الكويكبات كثب فقط لأنها تشكل تهديدا,تكنولوجيا
أمريكا تستطيع تفعل بكوريا الشمالية فعلته بإيران نيويورك تايمز نتناول عناوين الصحف نعرضها الأحد مقالات رأي نيويورك تايمز والغارديان حول تداعيات التدخل الأمريكي الصراع الأخير إيران وإسرائيل وازدهار العلامات التجارية الصينية وانتشارها دمى لابوبو صحيفة الإيكونومست,سياسة
لماذا ترغب بريطانيا شراء مقاتلات f35a رئيس الوزراء البريطاني أعلن حكومته ستشتري يقل 12 طائرة مقاتلة جديدة قادرة حمل قنابل نووية,سياسة
لوحات ضخمة قلب تل أبيب تدعو لـ شرق أوسط جديد وراءها سي تقصي الحقائق تهدف الحملة الإعلانية تعزيز تطبيع العلاقات دول عربية جديدة ضمن إطار إقليمي أوسع موقع الإئتلاف,سياسة
نقص حليب الأطفال يهدد حياة أطفال رضع غزة يحذر أطباء الأطفال المحتاجين لهذا الحليب يواجهون الموت حرموا غذائهم الوحيد ظل عدم قدرة كثير الأمهات إرضاع أطفالهم بصورة طبيعة بسبب النقص الحاد الغذاء,سياسة
يمكن تعالج العقول الاصطناعية العقول البشرية بريطانيا تواجه خدمات الصحة النفسية ضغطا متزايدا قوائم انتظار تمتد لأشهر وبالنسبة لأشخاص ليز البحث بدائل ضرورة وليس اختيارا,تكنولوجيا
نعرف صناعة كسوة الكعبة قامت الهيئة العامة للعناية بشؤون المسجد الحرام والمسجد النبوي الخميس بتغيير كسوة الكعبة المشرفة فماذا نعرف مراحل صناعة الكسوة وماذا يحدث للكسوة القديمة استبدالها,ثقافة
مرور شهر نظام المساعدات الجديد غزة إطلاق النار والفوضى روتينا تتوالى تقارير بشكل يومي سقوط قتلى الفلسطينيين المتوجهين لتلقي المساعدات دخول نظام جديد لتوزيعها شهر مؤسسة تدعمها الولايات المتحدة وإسرائيل,سياسة
حدث غزة خلال 12 يوما المواجهة إيران وإسرائيل اندلاع المواجهات إيران وإسرائيل كانت السلطات الإسرائيلية تواصل لليوم الثالث التوالي قطع الإنترنت وخدمات الاتصال كامل القطاع الفلسطيني أعرب الكثير سكانه مخاوفهم نسيان مأساتهم يعيشونها القطاع المدمر 20 شهرا,سياسة
لماذا تركت غزة المدة تقتل وتجوع الإعلان وقف إطلاق النار إيران وإسرائيل تبرز تساؤلات سكان قطاع غزة بشأن تعثر التوصل لهدنة القطاع أشهر طويلة الحرب يستمر سقوط الضحايا الساعين للحصول مساعدات,سياسة
ريما حسن لبي سي وضعوني العزل الانفرادي كتبت شعارات داعمة لفلسطين حائط المعتقل قالت ريما حسن لبي سي إنها وضعت بالعزل الانفرادي ساعات الصباح الأولى وحتى المساء وذلك بسبب كتابات كتبتها حائط مكان الاحتجاز السابق منطقة بالمهاجرين,اجتماعي
أحلام الإنجاب غزة تتلاشى الآلاف بسبب الحرب غزة تعرضت مراكز طبية متخصصة علاج العقم وأطفال الأنابيب لأضرار جسيمة أدت تدمير منشآت وأجهزة طبية دقيقة وتلف آلاف العينات الحيوية بينها أجنة مجمدة وبويضات مخصبة كانت تمثل حلم الأمومة والأبوة لآلاف الفلسطينيين فقدوا فرصتهم الوحيدة للإنجاب,اجتماعي
مسح شامل للبشرة لرصد المشاكل وتقديم الحلول مسح شامل للبشرة لرصد المشاكل وتقديم الحلول,صحة
حرب غزة لماذا يتعرض الفلسطينيون طالبي المساعدات الإنسانية للقتل قتل فلسطينيين طالبي المساعدات الأحد 29 يونيوحزيران ليضافوا مئات القتلى الآخرين سقطوا خلال شهر بدء توزيع المساعدات الإنسانية بآلية جديدة رعاية أمريكية إسرائيلية,سياسة
جهاز يقدم مسحا طبوغرافيا لخلايا البشرة جهاز يقدم مسحا طبوغرافيا لخلايا البشرة,تكنولوجيا
أمير الموسوي بلا قيود تخصيب إيران اليورانيوم بنسبة 60 عنادا لأمريكا يرى أمير الموسوي المستشار السابق رئاسة الجمهورية الإيرانية نفي القطريين تضرر قاعدة العديد تستضيفها قطر جراء استهدافها بصواريخ إيرانية مسايرة للرؤية الامريكية,سياسة
الطفلة الليبية سوهان السعود تفر عبر قارب هجرة بحثا علاج لمرضها النادر الطفلة الليبية سوهان السعود تفر عبر قارب هجرة بحثا علاج لمرضها النادر,صحة
ضحى العريبي تثير الانقسام بتصريحات حول شهادة البكالوريا تونس ضحى العريبي تثير الانقسام بتصريحات حول شهادة البكالوريا تونس,اجتماعي
عيد النائمين السبعة قصة مسيحية تنبئ الألمان بالطقس 27 عام تحتفل ألمانيا بعيد النائمين السبعة فما قصة العيد علاقته بأصحاب الكهف,ثقافة
الأزهر مسجد الفاطميين جامعة إسلامية عريقة امتداد عام عمره ظل الجامع الأزهر يحمل مشعل العلم والدين جامعا أصالة التراث وحتمية التجديد فما قصته,ثقافة
